EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
58	23:19:17	2	0.0008	1.6511646988175133	1.5659284591674805	0.8794	0.8680	0.8736
59	23:19:40	3	0.0008	1.658797068379142	1.564049482345581	0.8789	0.8675	0.8732
60	23:20:04	4	0.0008	1.6536800601265647	1.5653631687164307	0.8798	0.8680	0.8739
61	23:20:26	1	0.0004	1.655845860784704	1.5665150880813599	0.8789	0.8675	0.8732
62	23:20:49	2	0.0004	1.6687730498747393	1.5654324293136597	0.8789	0.8675	0.8732
63	23:21:12	3	0.0004	1.663747956536033	1.565731406211853	0.8789	0.8675	0.8732
64	23:21:36	4	0.0004	1.6509429851445285	1.5652023553848267	0.8780	0.8670	0.8725
65	23:21:59	1	0.0002	1.6753819723562762	1.5651743412017822	0.8780	0.8670	0.8725
66	23:22:22	2	0.0002	1.656760265827179	1.5654360055923462	0.8780	0.8670	0.8725
67	23:22:46	3	0.0002	1.666055905385451	1.565294861793518	0.8780	0.8670	0.8725
68	23:23:08	4	0.0002	1.645138574513522	1.5646367073059082	0.8780	0.8670	0.8725
